OBJECTID,FROMRIGHT,SHAPE,SHAPE.STLength()
1,0,,22.7439243538793
2,0,,103.74629674208113
3,0,,30.289849736612034
4,0,,24.12213648875112
5,0,,29.196411208089785
6,0,,411.37784308442974
7,3030,,83.62187835413557
11,1800,,201.38657244059934
12,0,,16.06186254414722
13,700,,72.98249948263478
14,1100,,129.11755387778265
15,2,,83.11544304240678
16,44,,81.9798365104405
19,800,,96.74350862469339
20,0,,126.74409499077346
21,0,,85.70524967869551
22,2100,,176.59702513706273
23,0,,9.359605475036789
24,0,,46.301085640331785
25,0,,31.96948746729952
26,0,,56.971625599047705
27,0,,86.33665380596811
28,0,,79.22076670488725
29,0,,98.3001386583584
30,10,,51.03742667043884
31,10,,52.00714687913141
32,596,,36.43353441446741
33,0,,131.57354871251084
34,0,,19.40972571564207
35,0,,14.936627534204352
36,0,,46.80706967890557
37,0,,65.19204289539454
38,0,,0.019137920479092012
39,0,,126.15802533331296
40,2700,,458.88037375042586
41,70,,106.53869680635202
42,0,,110.97580459629592
43,3046,,59.83019927886741
48,0,,52.62466892998794
49,0,,60.370701094155066
51,6083,,939.5950668086801
52,0,,1000.9226951388594
54,2,,23.530569702511006
55,2,,349.56055312089916
58,2000,,105.0102010796811
59,2000,,2.647512951306715
61,1800,,129.6468400140269
68,0,,39.961126111048394
69,0,,60.91479907109861
70,0,,24.76856999038257
71,0,,68.87470716118959
72,0,,52.389430911888034
73,2,,194.94470113682482
74,2326,,113.81020724976172
75,0,,149.13123985356137
76,6699,,90.33725775367519
79,0,,124.07498372354421
80,5999,,188.52597313630795
81,6615,,190.8711485180823
82,0,,86.97360427773746
83,0,,33.698045199436535
84,0,,77.47385774761977
87,100,,181.30129058161992
88,100,,69.58795766512462
94,0,,87.92501891905181
95,0,,136.32800050838065
96,0,,66.62332362960525
97,2698,,5.017146844542429
98,1200,,74.77699486936658
101,2264,,134.21850978091862
102,1026,,105.9610557771762
103,1100,,81.53350406544818
104,1300,,134.26458852588
106,1566,,57.49112033918279
107,1160,,135.24733207264038
108,1700,,182.0643648580767
109,2,,69.5700045039215
110,6611,,97.28786619528462
111,0,,36.56390081036575
112,0,,23.450961215459742
113,0,,0.9617611562745413
114,0,,32.39994398297587
115,0,,35.28453105589151
116,3050,,67.59990440421709
117,70,,87.63408635002216
118,138,,175.9246661757888
119,0,,22.311533430888463
120,1410,,131.9634375865904
121,1410,,29.89671983523148
122,0,,87.14564139671093
123,0,,83.93448603227523
124,0,,26.040487081614526
127,1500,,100.62634665284313
129,2,,180.47292337256098
130,0,,14.329281832746506
131,0,,9.518995049041147
132,0,,7.455057443369437
133,0,,47.00686303226644
134,0,,156.97769590948468
135,0,,33.11308284139226
138,66,,73.47139129406024
141,0,,112.26965843202636
142,0,,49.863702330260814
143,0,,23.017918156329387
144,2300,,104.71767713544644
145,3000,,139.31020090972424
146,94,,69.05597670232058
147,3000,,81.2739775771223
148,900,,100.64835432469698
149,2100,,97.28308959871242
150,1800,,103.1665403428863
151,0,,199.5627969130958
152,0,,61.27960475498296
153,1700,,101.80954879074174
154,1200,,132.17712797554344
155,1900,,79.94685108565878
156,920,,100.51750278004664
158,1900,,100.35490877253204
160,900,,101.07499248284067
161,1600,,202.98338057440745
162,1700,,100.7082253022494
164,1300,,534.9636558460168
165,110,,266.1390674287164
166,1220,,91.41019710453423
167,90,,88.28972858080368
168,52,,116.311492554336
169,0,,5.79717116736381
170,2734,,260.31751666801847
171,100,,99.65866749166702
172,122,,40.46935517234177
173,126,,45.081830751264434
174,130,,167.53580989832815
176,0,,177.95562515242213
177,1200,,131.65090017325178
178,1724,,103.09065879151339
182,0,,8.439565553365448
183,0,,14.116797206458035
184,1300,,208.2779685530782
185,2,,96.05218063325563
186,3018,,79.04343988355274
187,2,,212.49509190423979
188,3022,,81.47131619985743
189,3026,,138.1992067111546
190,0,,59.40635298688986
191,88,,258.75682171471425
192,2420,,85.06343931045598
193,3000,,94.53898896098873
194,206,,316.0657468532791
196,0,,23.551873234237725
197,6599,,196.2986632172388
198,6765,,166.87497968630973
199,5999,,48.106586027805704
201,6307,,40.95658238252427
202,6497,,111.80065635487122
203,6609,,0.17449263606215482
204,6659,,86.32118696922433
205,0,,1.5395306981470034
206,6481,,294.3615312370374
207,0,,0.32207452507923784
209,6465,,293.9492593909537
210,226,,202.820604983347
211,2,,15.629769801895195
212,2,,147.57077027980566
213,0,,69.84980833117092
214,6491,,293.84199793383334
215,0,,42.18723507246105
218,0,,170.45658970970405
219,0,,436.5711440812762
220,192,,131.2953053711086
221,0,,125.76629337170782
222,0,,192.2884599058266
223,2040,,79.49841678050895
224,152,,171.50854190306572
226,2448,,7.836361756750269
227,132,,75.35522516016115
228,32,,162.7445387559631
229,74,,111.52141635536066
230,0,,20.691715101802668
231,0,,128.3345980158233
233,0,,29.36260800044105
234,0,,81.4914054978617
236,0,,102.36890889934807
237,0,,95.80726691022706
238,0,,239.52000812537113
239,0,,46.64925661009735
240,0,,47.52460084401834
241,0,,17.141332396002873
242,0,,43.83608238495912
243,0,,100.10912542636564
244,6099,,241.09488820869666
245,0,,33.60926114422597
248,6087,,32.78226724367999
249,0,,19.100639422653465
250,0,,23.822039120811777
251,0,,31.521514723626648
252,0,,15.331033378789932
253,0,,136.04454065536322
254,0,,357.32970777579084
255,0,,11.589742365436438
258,0,,6.3730946573533425
259,0,,34.57087487166281
262,0,,56.27194412713884
266,0,,57.25021293815124
267,0,,56.85944619432844
268,0,,77.69506392951256
269,0,,7.140156496454728
270,0,,58.190226106980056
271,0,,20.6016325045836
274,0,,47.54850326802855
275,0,,14.12038707011593
276,0,,169.18565635912228
277,0,,7.244339603629729
278,0,,27.306901182664042
279,0,,57.45432755939999
280,0,,49.05456638115949
281,0,,169.18376097832896
282,0,,66.99826373114203
283,0,,205.96857753952747
284,0,,105.78786470431207
285,0,,70.10951577296896
286,0,,65.79304395128162
287,0,,52.32755398980587
288,0,,217.0737546404376
289,0,,171.80590054613197
290,0,,78.70649735857072
291,0,,66.95462054503956
292,0,,305.483639338307
293,0,,197.32189058702215
294,0,,170.83310944752674
302,38,,190.84837905284084
303,38,,13.37348253062594
305,2100,,101.36639558536861
306,1200,,91.02501896563072
307,2000,,115.62751455787442
308,2000,,144.1349821125934
309,0,,43.67787586077366
310,0,,8.294121311117925
311,0,,145.7511998255623
312,0,,28.61198357302883
313,0,,44.427015201327684
314,0,,10.464472429896935
315,0,,22.086449846893455
316,0,,47.49148951783292
317,0,,19.17391509052781
318,1042,,41.987320550010445
321,1800,,53.370869708107705
323,1100,,110.94704576907107
327,130,,480.23829595457545
328,130,,91.51310450943924
329,120,,30.688786815200395
330,120,,165.87172002517744
331,170,,98.99144435677692
332,240,,100.07709683766763
333,624,,116.57883120768177
334,720,,94.73979559168495
335,800,,104.46461679451897
336,1128,,90.82967733921524
342,0,,50.981088604203535
343,0,,0.9903439859269604
346,2000,,120.9864190680797
347,2000,,140.1252500112138
348,1700,,61.53810852614419
349,1500,,51.93090153334278
350,2700,,212.96635429734476
351,1600,,195.45204239787947
352,0,,89.16240195075976
353,1022,,106.98645327972305
354,0,,94.35422882374216
355,0,,0.2560999995538996
356,1200,,133.0402168075571
357,800,,94.59752891097867
358,720,,94.60285615505195
365,0,,9.056719053015005
