,name,start_id,end_id,highway,crime_count,tree_count,light_count
0,Stonewall-Panoramic Trail,35718720,2535392487,track,,,
1,Stonewall-Panoramic Trail,2535392487,33947072,track,,,
2,Stonewall-Panoramic Trail,33947072,2532688215,track,,,
3,Stonewall-Panoramic Trail,2532688215,33947074,track,,,
4,Stonewall-Panoramic Trail,33947074,2532688201,track,,,
5,Stonewall-Panoramic Trail,2532688201,33947087,track,,,
6,Stonewall-Panoramic Trail,33947087,2535392491,track,,,
7,Stonewall-Panoramic Trail,2535392491,2535392494,track,,,
8,Stonewall-Panoramic Trail,2535392494,33947096,track,,,
9,Stonewall-Panoramic Trail,33947096,2535392499,track,,,
10,Stonewall-Panoramic Trail,2535392499,33947107,track,,,
11,Panoramic Way,35719198,2532680554,residential,,,
12,Panoramic Way,2532680554,2532680555,residential,,,
13,Panoramic Way,2532680555,34351177,residential,,,
14,Panoramic Way,34351177,760724524,residential,,,
15,Panoramic Way,760724524,2535398800,residential,,,
16,Panoramic Way,2535398800,2535398805,residential,,,
17,Panoramic Way,2535398805,2535398807,residential,,,
18,Panoramic Way,2535398807,35719245,residential,,,
19,,33947233,775884703,track,,,
20,,775884703,5342164955,track,,,
21,,5342164955,33947361,track,,,
22,,33947361,33947363,track,,,
23,,33947363,33947365,track,,,
24,,33947365,33947369,track,,,
25,,33947369,33947370,track,,,
26,Dwight Way,35719182,35719187,residential,,,
27,Dwight Way,35719187,775883165,residential,,,
28,Dwight Way,775883165,35719190,residential,,,
29,Dwight Way,35719190,775882838,residential,,,
30,Dwight Way,775882838,35719193,residential,,,
31,Dwight Way,35719193,35719198,residential,,,
32,Panoramic Place,35719242,35719245,residential,,,
33,,35719242,34351336,track,,,
34,,2443796077,34485331,steps,,,
35,Upper Jordan Fire Trail,35719039,4728624104,track,,,
36,Upper Jordan Fire Trail,4728624104,760715306,track,,,
37,Upper Jordan Fire Trail,760715306,760715305,track,,,
38,Upper Jordan Fire Trail,760715305,843011023,track,,,
39,Upper Jordan Fire Trail,843011023,92042000,track,,,
40,Upper Jordan Fire Trail,92042000,843011019,track,,,
41,Upper Jordan Fire Trail,843011019,92041991,track,,,
42,Upper Jordan Fire Trail,92041991,92041975,track,,,
43,Upper Jordan Fire Trail,92041975,92041967,track,,,
44,Upper Jordan Fire Trail,92041967,92041953,track,,,
45,Upper Jordan Fire Trail,92041953,760717091,track,,,
46,Upper Jordan Fire Trail,760717091,92041942,track,,,
47,Upper Jordan Fire Trail,92041942,92041931,track,,,
48,Upper Jordan Fire Trail,92041931,760717087,track,,,
49,Upper Jordan Fire Trail,760717087,760717086,track,,,
50,Upper Jordan Fire Trail,760717086,760717084,track,,,
51,Upper Jordan Fire Trail,760717084,92041874,track,,,
52,Upper Jordan Fire Trail,92041874,92041866,track,,,
53,Upper Jordan Fire Trail,92041866,760720178,track,,,
54,Upper Jordan Fire Trail,760720178,92042093,track,,,
55,Upper Jordan Fire Trail,92042093,775886331,track,,,
56,Upper Jordan Fire Trail,775886331,775886329,track,,,
57,Upper Jordan Fire Trail,775886329,92041748,track,,,
58,Upper Jordan Fire Trail,92041748,760719970,track,,,
59,Upper Jordan Fire Trail,760719970,775886292,track,,,
60,Upper Jordan Fire Trail,775886292,92041720,track,,,
61,Upper Jordan Fire Trail,92041720,775886290,track,,,
62,Upper Jordan Fire Trail,775886290,775886289,track,,,
63,Upper Jordan Fire Trail,775886289,760719868,track,,,
64,Upper Jordan Fire Trail,760719868,7796210062,track,,,
65,Upper Jordan Fire Trail,7796210062,92041641,track,,,
66,Upper Jordan Fire Trail,92041641,760721222,track,,,
67,Upper Jordan Fire Trail,760721222,760721221,track,,,
68,Upper Jordan Fire Trail,760721221,92041591,track,,,
69,Upper Jordan Fire Trail,92041591,92041580,track,,,
70,Upper Jordan Fire Trail,92041580,92041556,track,,,
71,Upper Jordan Fire Trail,92041556,35706545,track,,,
72,Upper Jordan Fire Trail,35706545,775884840,track,,,
73,Upper Jordan Fire Trail,775884840,35706553,track,,,
74,Upper Jordan Fire Trail,35706553,775884842,track,,,
75,Upper Jordan Fire Trail,775884842,775884829,track,,,
76,Upper Jordan Fire Trail,775884829,760000672,track,,,
77,Upper Jordan Fire Trail,760000672,35706566,track,,,
78,Upper Jordan Fire Trail,35706566,760000676,track,,,
79,Upper Jordan Fire Trail,760000676,760000688,track,,,
80,Upper Jordan Fire Trail,760000688,34351235,track,,,
81,Upper Jordan Fire Trail,34351235,34351247,track,,,
82,Upper Jordan Fire Trail,34351247,34351251,track,,,
83,Upper Jordan Fire Trail,34351251,760727195,track,,,
84,Upper Jordan Fire Trail,760727195,775884762,track,,,
85,Upper Jordan Fire Trail,775884762,34351264,track,,,
86,Upper Jordan Fire Trail,34351264,775884769,track,,,
87,Upper Jordan Fire Trail,775884769,775884740,track,,,
88,Upper Jordan Fire Trail,775884740,34351419,track,,,
89,Upper Jordan Fire Trail,34351419,760723676,track,,,
90,Upper Jordan Fire Trail,760723676,33947370,track,,,
91,Upper Jordan Fire Trail,33947370,760723610,track,,,
92,Upper Jordan Fire Trail,760723610,251225802,track,,,
93,Upper Jordan Fire Trail,251225802,775884657,track,,,
94,Upper Jordan Fire Trail,775884657,33947381,track,,,
