OBJECTID,Field Pole Number,CITY_FACILITY_ID,Utility Pole Number,Fixture Type,Current Lamp Type,Current Wattage,Rate Change Submission Date,LED Conversion Status,Installation Date,Leotek Replacement Status,Replacement Date,LED Fixture,Part Number,Manufacturer,Control Device,Field Issues,Access Issues,Pole Material,Arm Length,Mounting Height,Light Shield,Pre-Conversion Lamp Type,Pre-Conversion Wattage,Pre-Replacement Lamp Type,Pre-Replaceent Wattage,Utility Address,Approximate Address,Latitude, Longitude,Tanko ID,Shape,x,y
1,B4866,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,9/6/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,801 Anthony St,"37.8518658, -122.2935715",7985,,562147.4803999998,4189614.5299999993
2,N1300,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/26/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,12 ft,> 30 feet,None,N/A,N/A,LED,42,,1302 9th St,"37.8799056, -122.2981296",7988,,561723.0862999996,4192722.567
3,2469,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/23/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,2475 Bancroft Way,"37.8686636, -122.260023",7989,,565084.1491,4191501.1362999994
4,GA3408,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,1/7/2020,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,3100 Adeline St,"37.8510318, -122.270679",7993,,564162.1792000001,4189537.4812000003
5,A3307,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/7/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,25-30 feet,None,N/A,N/A,LED,87,,3315 Adeline St,"37.8484454, -122.271377",7994,,564103.0109999999,4189250.0369000006
6,S0185,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/5/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,1830 Solano Ave,"37.8913351, -122.2786528",8000,,563426.1102,4194003.7566
7,SX2014,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/24/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,824 University Ave,"37.8677832, -122.2977425",8001,,561767.2499000002,4191377.8214
8,EAL03E,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,9/24/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,333 University Ave,"37.86452, -122.3123609",8002,,560484.1363000004,4191006.1908
9,MB31,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,9/24/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,6 ft,25-30 feet,None,N/A,N/A,LED,42,,272 Marina Blvd,"37.8667003, -122.3122039",8003,,560496.1634999998,4191248.200099999
10,CH2500,,CH2499,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,3/18/2020,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,3 ft,25-30 feet,None,N/A,N/A,LED,87,N/S CHANNING 1/W/O TELEGRAPH CH2499,2398 Telegraph Ave,"37.8668906, -122.2587112",8025,,565201.0915000001,4191305.3341000006
11,OX2124,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/17/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,Oxford St,"37.8706831, -122.2660245",8028,,564554.5220999997,4191721.0353999995
12,OX2120,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/17/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2120 Oxford St,"37.8710464, -122.2660681",8029,,564550.3702999996,4191761.314099999
13,OX2106,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/17/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2120 Oxford St,"37.8713206, -122.2660938",8030,,564547.8706999999,4191791.7193
14,B2038,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/22/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,1665 Hearst Ave,"37.8726847, -122.2780172",8031,,563498.0096000005,4191934.8891000003
15,X,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/23/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2398 Bancroft Way,"37.8683171, -122.2615697",8032,,564948.4124999996,4191461.614
16,B7607,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/18/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,2011 Blake St,"37.8628753, -122.2692839",8033,,564274.6299,4190852.4964000005
17,C2153,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/21/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2152 Center St,"37.8706355, -122.2663352",8034,,564527.2366000004,4191715.5393000003
18,N4944,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/26/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,51 Tunnel Rd,"37.8574239, -122.2417959",8035,,566697.4532000003,4190266.9372000005
19,B2820,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/6/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,1737 Ward St,"37.858638, -122.2740048",8036,,563863.0248999996,4190379.1207
20,B7601,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/31/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,1227 Carletown St,"37.8589711, -122.2856052",8037,,562842.2858999996,4190408.2062
21,B5101,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/30/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2126 Bonar St,"37.8674686, -122.2871283",8038,,562701.1031999998,4191349.9934
