name,highway,node_ids
Stonewall-Panoramic Trail,track,35718720-33947065-2790624066-2532688210-2535392487-2532688208-33947068-2535392493-33947070-2790624087-33947072-2532688215-2532688206-33947074-33947076-2532688204-33947078-2532688203-33947080-2532688199-2535392488-2532688196-2532688201-33947082-2535392489-33947084-33947087-2535392490-2535392491-2535392492-843009742-2535392494-33947089-33947093-2535392495-7132175390-843009744-2535392496-33947096-843010132-33947099-842994422-2535392497-842994425-33947104-2535392499-2532680463-33947107
Panoramic Way,residential,35719198-34351168-309014328-760724456-34351171-760724457-2532680554-2532680555-34351177-760724523-2535398786-35719261-760724524-2535398788-35719260-35719259-2535398789-760724525-2535398790-2535398791-35719258-35719257-2535398796-2535398797-2535398798-2535398799-2535398800-35719256-2535398801-2535398803-2535398805-35719255-35719254-35719253-35719252-2535398807-35719245
n/a,path,33947272-33947280-33947283-33947287-33947290-33947294-33947297
n/a,path,33947287-33947315-33947317-33947319-33947322-33947324-33947328-33947330-33947333-33947335
n/a,path,33947335-33947338-33947258
n/a,track,33947233-775884715-33947349-775884716-760723606-33947352-775884717-775884703-775884704-33947354-775884701-33947357-5342164955-33947359-5342164956-33947361-33947363-775884702-33947365-33947367-33947368-760723607-760723608-33947369-33947370
n/a,path,33947190-33947459-33947462-33947464-33947467-33947469-33947472-33947474-33947477
n/a,path,33947416-33947526-33947528-33947530
n/a,path,33947244-33947347
n/a,path,33947335-33947340-33947342-33947345
n/a,path,34351114-2532680538-2535388558-2532680550
Clark Kerr Trail,path,34351137-2532680511-842990583-7285716668-7285716669-7285716670-7285716671-7285716672-7285716673-842990586-34351141-7285716676-842990597-34351144-2532688217-34351148-2532688219-2532688221-34351151-2532688222-2532688223-34351155-2532688224-2532688225-34351346-2532688228-2532688229-2532680498-2532688230-2532688231-2532680499-2532688232-2532688233-2532680500-2532680501-2532680502-2532688234-34351349
Dwight Way,residential,35719182-35719183-775883141-775883142-7134340128-775883144-35719184-775883150-35719185-775883154-775883157-35719186-775883161-35719187-775883165-775882982-35719188-35719189-35719190-775882654-35719191-35719192-775882838-2532680504-35719193-2532680503-34351349-2532680508-34351351-34351164-35719198
n/a,path,34351184-2532688173-2532688174-2532688175-760724601-2532688170-34351218-2532688169-2532688168-2532688167-2532688166-2532688165-34351221-760724556-2532688164-760724557-34351225-760724561-34351228-2532688163-760724565-34351204
Panoramic Place,residential,35719242-34351361-7132278891-34351364-35719243-35719244-35719245
n/a,path,34351364-34351366-34351369-34351371
n/a,path,34351369-34351379-34351312
n/a,track,35719242-760723799-34351354-34351336
n/a,path,33947423-34351341-34351343
Eloi's Way,service,34485314-2532709038-2532709036-2532709037-34485328-2539109148-2539109144-1419660733
n/a,steps,2443796077-34485331
n/a,path,34485331-34485332-5342164963-34485333-34485334-34485335-5342164962-34485336-2532688212-2532688213-33947074
Upper Jordan Fire Trail,track,35719039-4728624104-92042049-7564692805-92042040-7134534992-92042035-7134534987-92042024-760715306-92042017-92042010-760715305-7782302867-92042008-92042005-843011023-92041997-92042000-843011020-843011019-843011018-92041991-92041984-92041980-92041975-92041970-92041967-92041961-92041953-92041947-760717092-760717091-92041942-760717090-92041931-760717089-92041924-92041916-760717088-92041907-760717087-760717086-92041902-92041896-760717085-760717084-92041893-417235722-92041882-92041874-760717083-775886504-92041871-760720190-92041866-775886503-775886502-92041852-775886411-92041848-775886410-92041840-92041832-760720178-760720172-92041828-775886409-92042093-92041817-775886408-775886407-92041813-760720159-775886406-92041806-760720145-92041804-92041799-775886405-775886404-92041791-92041783-775886332-775886331-92041773-92041769-775886330-92041761-775886329-775886328-92041758-760720114-92041756-92041755-775886324-92041752-760720073-92041751-7133767463-775886295-760720054-760720043-775886294-92041749-760720009-92041748-760719997-760719992-92041743-775886293-760719970-760719955-760719949-92041733-760719948-760719941-92041726-775886292-92041720-775886291-775886290-92041712-760719927-92041703-92041691-775886289-92041687-760719897-92041679-760719874-760719868-92041668-92041661-760719856-92041658-760720781-775886288-775886287-92041647-760720780-92041644-760720779-92041643-775886286-92041642-7796210062-7796210063-92041641-775886284-7796210064-92041637-760721225-760721224-92041629-760721223-7796210065-92041624-760721222-775884862-92041619-92041611-775884861-92041605-760721221-92041596-92041591-775884860-92041580-92041567-92041561-760721217-92041556-760721214-35706547-775884857-35706545-775884839-7129633929-35706549-35706551-775884840-760000599-775884841-35706552-760000600-35706553-35706554-760000664-760000665-775884842-35706555-760000666-760000667-35706556-775884829-760000668-760000669-35706557-775884830-35706558-760000670-760000671-35706559-775884831-760000672-775884832-35706560-35706561-775884833-35706562-760000673-35706563-775884834-775884835-775884836-35706564-760000674-35706565-760000675-775884837-35706566-35706567-760000676-35706568-760000677-35706569-760000678-35706570-760000688-35706571-760000689-35706572-775884838-35706573-33947297-34351232-34351235-34351239-760726834-775884759-760726835-760726836-775884760-34351242-34351247-34351251-760727194-760727195-760727200-34351256-775884761-760727216-34351261-775884762-760727222-760727229-775884763-34351264-775884764-775884765-775884766-775884767-775884768-775884769-775884770-34351268-775884771-775884772-775884773-34351272-775884738-775884739-34351275-775884740-775884741-34351422-775884723-34351419-775884724-34351278-775884725-775884726-34351396-775884727-34351281-34351285-775884719-34351288-34351292-34351296-760723676-33947488-33947370-7133767387-775884633-33947372-760723610-33947375-33947377-760723712-251225802-760723713-33947378-760723714-760723715-775884657-33947380-33947381-760723716-775884669-33947383-760723717-7134340145-775884686-760723718-33947384-33947385-33947387-775884693-760723719-33947388-775884694-760723720-33947390-775884695-33947393-775884697-775884699-775884700-33947395-33947399-33947401
n/a,path,35706118-7949089638-35706463-35706464-35706465-5342164954-35706466-301318940
n/a,track,33947087-33947517-35706045-5342164960-5342164961-35706049-35706052-35706059-35706060-35706063-35719262
East West Trail,track,33947190-33947194-33947198-760725877-760725878-33947202-33947206-5342164958-33947484-33947477-33947485-5342164957-33947486-33947223-760726281-33947226-760726283-7134340150-33947230-760726364-760726365-33947233-760726373-33947236-33947240-7133767390-760726368-33947244-33947247-760723570-760723267-33947251-33947254-33947258-33947262-760722827-760722831-33947265-760722835-33947269-33947272-33947277-35706085-8547531444-35706087-760000762-35706089-760000763-35706091-35706094-35706097-35706102-760000776-35706107-35706112-760000777-35706118-35706123-760000778-35706129-760000779-35706133-760000780-760000781-35706139-760000782-35706145-760000783-35706150-760000784-35706155-35706159-760000785-35706164-35706170
n/a,track,35706170-760721274-35706532-35706533-760000429-35706534-35706535-760000430-35706536-35706537-35706539-760000431-35706541-760000432-842986233-35706543-842986235-35706545
Grizzly Peak Boulevard,tertiary,35718993-5342208348-58573405-5342208349-7130320311-537354093-35718994-537354109-35718995-35718996-5342208350-7137411669-537351825-35718997-35718998-35718999-537351835-7196646463-35719000-35719833-2421199594-35719002-4728624106-4728624107-4728624108-6989037586-4728624109-4728624110-4728624111-4728624112-4728624113-8444132707-8444132705-8444132709-8444132702-8444132713-8444132716-8444155321-4728624119-4728624120-4728624121-4728624122-4728624123-4728624124-4728624125-4728624126-4728624127-4728624128-4728624129-4728624130-4728624131-2844470157-4728624132-4728624133-4728624134-4728624135-4728624136-4728624137-4728624138-4728624139-4728624140-4728624141-4728624142-4728624143-4728624144-4728624145-4728624146-4728624147-4728624148-4728624149-4728624150-4728624151-4728624152-4728624153-4728624154-4728624155-4728624156-4728624157-4728624158-4728624159-4728624160-4728624161-4728624162-4728624163-4728624164-4728624165-4728624166-4728624167-4728624168-4728624169-4728624170-4728624171-4728624172-4728624173-4728624174-4728624175-4728624176-4728624177-4728624178-4728624179-4728624180-7196646472-4728624182-35719016-4728624183-4728624090-4728624089-4728624184-4728623888-537351926-4728624185-4728624095-4728624096-4728624098-4728624099-4728624100-4728624102-4728624187-4728624093-4728624094-4728624092-4728624091-4728624188-7133915658-7133915660-4728624189-4728624190-4728624191-4728624192-4728624193-4728624194-4728624195-4728624196-4728624197-4728624198-4728624199-4728624200-4728624201-4728624202-4728624204-537353216-4728624206-4728624207-4728624208-4728624209-4728624210-4728624211-4728624212-4728624214-4728624215-4728624217-4728624218-4728624219-4728624220-4728624221-4728624223-4728624224-4728624225-4728624227-4728624228-4728624229-4728624230-4728624231-4728624232-4728624233-4728624234-4728624235-288988764-4728624236-4728624238-4728624240-4728624242-4728624243-4728624245-4728624246-4728624248-4728624249-4728624251-4728624252-4728624253-4728624254-4728624255-4728624256-4728624257-4728624258-4728624259-4728624260-4728624261-4728624262-4728624263-4728624264-4728624265-4728624266-4728624267-4728624268-4728624269-4728624270-4728624271-4728624272-4728624273-4728624274-4728624275-4728624276-4728624277-4728624278-4728624279-4728624280-4728624281-4728624282-4728624283-4728624284-4728624285-4728624286-4728624287-4728624288-4728624289-4728624290-4728624291-4728624292-4728624293-4728624294-4728624295-4728624296-4728624297-4728624298-4728624299-4728624300-4728624301-4728624302-4728624303-4728624304-4728624305-4728624306-35719039
Claremont Avenue,secondary,35718715-2998354141-843007646-2998354140-843007648-2998354139-35718734-2998354137-35718737-843007654-57059613-4121711518-843007660-843007661-843007663-7132107961-35718741-2998354135-2998354136-2345064454-7132895161-2993362921-35718744-2998354142-5097141173-2986430539-306329125-2998354146-306329126-2993362924-2986429627-2998354148-2345064455-2993362923-35718750-2998354150-7132107963-306329127
Claremont Avenue,secondary,4330828671-394180418-5484497262-2844599473-53152991
Stonewall Road,residential,35718715-35718716-843007106-843007108-843007110-35718717-7917134379-843007113-35718718-843004441-843004444-35718719-35718720-35718721-843006031-843006033-35718722-843006044-35718723-35718724-843006052-35718725-843006055-35718726-843006058-843006062-843006064-35718727-35718728-8141442226-843006067-35718729-35718731-843006075-3702027476-3702027478-3702027482
n/a,residential,35718727-843009339-35719262-35719059-35719060-842991762-842991765-842991781
Centennial Drive,tertiary,1329086484-6328432669-760705957-760705958-760705960-6328432794-6561919466-699550674-760705964-760705966-35719122-35719123-760705967-760705968-760705970-35719124-760705974-251225762-760705977-760705979-3257627654-251225763-760705982-35719125-760705983-760705984-251225760-760705985-251225761
Panoramic Way,residential,35719198-309014349-775882865-309014451-775882866-35719199-775882867-35719200-775882868-35719201-35719202-775882869-35719203-35719204-775882870-775882871-35719205-35719206-775882872-35719207-775882873-35719208-775882874-760677867-760677883-760677900-35719209-35719210-760677923-35719211-7916885643-760677938-35719212-760677952-760677958-760724450-760677962-760724451-35719213-35719214-760724452-760724453-35719215-760724454-251225757-35719216-35719217-760688528-760688529-35719218-35719219-760682278-35719220-760682285-35719221-760682291-760874903-35719222-760682293-35719223-760682302-35719224-760681002-775883285-760681003-35719225-775883286-35719226-760688538-775883287-760681010-775883288-760681015-35719227-775883289-760681029-760681037-775883290-760681043-775883291-35719228-35719229-35719230-775883292-35719231-775883293-35719182
Panoramic Way,residential,35719172-760874879-309013662-309013663-760874871-309013664-760684151-760684159-760684168-53147713-56795043-760684187-309014042-35719176
