FACILITYID,INSTALLDAT,WATTAGE,the_geom,CONDITION,LASTUPDATE,ACCOUNT,ARM_LENGTH,LATITUDE,LONGITUDE,DISTRIBUTI,CITY_FACIL,GROUP_,HEADS,INSTALLED,PHOTOCELL,ISSUES_REP,MODEL_NUMB,MOUNTING_H,OLD_TARIFF,OLD_TYPE,VOLTAGE,OLD_WATTAG,PGE_TARIFF,PLATE_PHOT,POLE_CONDI,POLE_MATER,RATE,SAID,SPID,ADDRESS,TWIN_POLE_,UNIQUE_ID,MANUFACTUR,WARRANTY_D,WARRANTY_P,WARRANTY,AUDIT_DATE
S93,01/17/2015 12:00:00 AM +0000,55,POINT (-122.26821599957998 37.87128399880363),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.871284,-122.268216,3,S93,CityStreetPath,Single,YES,N/A,,PT-175-5-UAC-40,< 25 feet,HPS_120_100,HPS,120,100,S-LD-55,Berkeley_Install_1-17-15_8_35_00_AM_S93_installer4.jpg,OK,Metal,LS-2,6232662147,7315998285,ADDISON ST,,0520_1248_6116,Sensity,01/17/2015 12:00:00 AM +0000,Graybar,5,05/20/2015 12:00:00 AM +0000
PB44,01/13/2015 12:00:00 AM +0000,48,POINT (-122.30265000002592 37.866183998981455),OK,11/30/1899 12:00:00 AM +0000,1005714586,2,37.866184,-122.30265,2,NO CITY DATA,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-13-15_10_55_AM_ani3n_installer8.jpg,OK,Metal,metered,#N/A,METERED,1 Bolivar Drive,,0115_1033_1011,SimplyLED,01/13/2015 12:00:00 AM +0000,Tanko Lighting,10,01/15/2015 12:00:00 AM +0000
AD715,01/12/2015 12:00:00 AM +0000,48,POINT (-122.2999940004867 37.86619899899626),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.866199,-122.299994,2,NO CITY DATA,CityStreetPath,Single,YES,PHOTOCELL,,ALD-50-N40-V450,< 25 feet,HPS_120_150,HPS,120,150,S-LD-50,Berkeley_Install_1-12-15_2_06_PM_AD715_installer4.jpg,OK,Metal,LS-2,6232662091,7682496694,713 ADDISON ST,,11215_14_06_16,SimplyLED,01/12/2015 12:00:00 AM +0000,Tanko Lighting,10,01/28/2015 12:00:00 AM +0000
SC3092,01/09/2015 12:00:00 AM +0000,48,POINT (-122.27878899970369 37.851656998801),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.851657,-122.278789,2,SC3092,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-9-15_9_36_AM_sc3092_installer8.jpg,OK,Metal,LS-2,6232662014,8013936974,SACRAMENTO ST,,0416_1454_5203,SimplyLED,01/09/2015 12:00:00 AM +0000,Tanko Lighting,10,04/16/2014 12:00:00 AM +0000
SC3047,01/09/2015 12:00:00 AM +0000,48,POINT (-122.27850299961962 37.8516959988152),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.851696,-122.278503,2,SC3047,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-9-15_10_31_AM_sc3047_installer8.jpg,OK,Metal,LS-2,6232662014,8013939014,3087 SACRAMENTO ST,,0416_1418_3519,SimplyLED,01/09/2015 12:00:00 AM +0000,Tanko Lighting,10,04/16/2014 12:00:00 AM +0000
SC3088,01/09/2015 12:00:00 AM +0000,48,POINT (-122.27881000046754 37.851748999124524),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.851749,-122.27881,2,SC3088,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-9-15_9_50_AM_SC3088_installer8.jpg,OK,Metal,LS-2,6232662014,8013936982,SACRAMENTO ST,,0416_1455_7944,SimplyLED,01/09/2015 12:00:00 AM +0000,Tanko Lighting,10,04/16/2014 12:00:00 AM +0000
SC3045,01/09/2015 12:00:00 AM +0000,48,POINT (-122.2785260004319 37.85178999879746),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.85179,-122.278526,2,SC3045,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-9-15_10_44_AM_sc3045_installer8.jpg,OK,Metal,LS-2,6232662014,8013939004,3075 SACRAMENTO ST,,0416_1418_3518,SimplyLED,01/09/2015 12:00:00 AM +0000,Tanko Lighting,10,04/16/2014 12:00:00 AM +0000
SC3080,01/09/2015 12:00:00 AM +0000,48,POINT (-122.27882799993503 37.85182599883583),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.851826,-122.278828,2,SC3080,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-9-15_9_34_AM_sc3080_installer8.jpg,OK,Metal,LS-2,6232662014,8013936988,3078 SACRAMENTO ST,,0416_1456_6175,SimplyLED,01/09/2015 12:00:00 AM +0000,Tanko Lighting,10,04/16/2014 12:00:00 AM +0000
SC3043,01/09/2015 12:00:00 AM +0000,48,POINT (-122.27854299966344 37.85186299878432),OK,11/30/1899 12:00:00 AM +0000,6232662070,2,37.851863,-122.278543,2,SC3043,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-9-15_10_32_AM_sc3043_installer8.jpg,OK,Metal,LS-2,6232662014,8013938098,3071 SACRAMENTO ST,,0416_1417_8481,SimplyLED,01/09/2015 12:00:00 AM +0000,Tanko Lighting,10,04/16/2014 12:00:00 AM +0000
SC3035,01/09/2015 12:00:00 AM +0000,48,POINT (-122.2785990000899 37.85208899908806),OK,11/30/1899 12:00:00 AM +0000,6232662070,6,37.852089,-122.278599,2,SC3035,CityStreetPath,Single,YES,N/A,,ALD-50-N40-V450,< 25 feet,HPS_120_100,HPS,120,100,S-LD-50,Berkeley_Install_1-9-15_10_59_AM_sc3035_installer8.jpg,OK,Metal,LS-2,6232662014,8013938092,3065 SACRAMENTO ST,,0416_1416_0266,SimplyLED,01/09/2015 12:00:00 AM +0000,Tanko Lighting,10,04/16/2014 12:00:00 AM +0000
